"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geodata_center";"geoarea";
"Код";"Полное официальное наименование";"global_id";"Сокращенное наименование";"Административный округ";"Район";"Адрес";"Наименование компании";"Дата проверки";"geodata_center";"geoarea";
"199";"Автомобильная заправочная станция «Лукойл-Центрнефтепродукт» на улице Римского-Корсакова, владение 5";"25756572";"АЗС «Лукойл-Центрнефтепродукт» на улице Римского-Корсакова, владение 5";"Северо-Восточный административный округ";"район Отрадное";"улица Римского-Корсакова, владение 5";"ООО «Лукойл-Центрнефтепродукт»";"06.07.2015";"";"";
"200";"Автомобильная заправочная станция «НБА-Северо-Запад» на Алтуфьевском шоссе, владение 3А";"25757894";"АЗС «НБА-Северо-Запад» на Алтуфьевском шоссе, владение 3А";"Северо-Восточный административный округ";"район Отрадное";"Алтуфьевское шоссе, владение 3А";"ООО «НБА-Северо-Запад»";"06.07.2015";"";"";
"201";"Автомобильная заправочная станция «НБА-Северо-Запад» на Сущевском валу, владение 25";"25760650";"АЗС «НБА-Северо-Запад» на Сущевском валу, владение 25";"Северо-Восточный административный округ";"район Марьина Роща";"Сущевский вал, владение 25";"ООО «НБА-Северо-Запад»";"06.07.2015";"";"";
"202";"Автомобильная заправочная станция «ЕКА-АЗС» на Ростокинском проезде, владение 11, строение 1";"25761391";"АЗС «ЕКА-АЗС» на Ростокинском проезде, владение 11, строение 1";"Восточный административный округ";"район Сокольники";"Ростокинский проезд, владение 11, строение 1";"ООО «ЕКА-АЗС»";"08.07.2015";"";"";
"203";"Автомобильная заправочная станция «Татнефть-АЗС-Запад» на шоссе Энтузиастов, дом 92Г";"25762384";"АЗС «Татнефть-АЗС-Запад» на шоссе Энтузиастов, дом 92Г";"Восточный административный округ";"район Ивановское";"шоссе Энтузиастов, дом 92Г";"ООО «Татнефть-АЗС-Запад»";"08.07.2015";"";"";
"204";"Автомобильная заправочная станция «РН-Москва» на улице Айвазовского, владение 2А";"25765991";"АЗС «РН-Москва» на улице Айвазовского, владение 2А";"Юго-Западный административный округ";"район Ясенево";"улица Айвазовского, владение 2А";"АО «РН-Москва»";"10.07.2015";"";"";
"205";"Автомобильная заправочная станция «Лукойл-Центрнефтепродукт» на улице Плеханова, дом 7А";"25767193";"АЗС «Лукойл-Центрнефтепродукт» на улице Плеханова, дом 7А";"Восточный административный округ";"район Перово";"улица Плеханова, дом 7А";"ООО «Лукойл-Центрнефтепродукт»";"23.07.2015";"";"";
"206";"Автомобильная заправочная станция «РН-Москва» на проспекте 60-летия Октября, владение 8В";"25770047";"АЗС «РН-Москва» на проспекте 60-летия Октября, владение 8В";"Юго-Западный административный округ";"Академический район";"проспект 60-летия Октября, владение 8В";"АО «РН-Москва»";"10.07.2015";"";"";
"207";"Автомобильная заправочная станция «ТД Нефтьмагистраль» в Зеленограде, на Новокрюковской улице, владение 5А";"25775341";"АЗС «ТД Нефтьмагистраль» в Зеленограде, на Новокрюковской улице, владение 5А";"Зеленоградский административный округ";"район Крюково";"Зеленоград, Новокрюковская улица, владение 5А";"ООО «ТД Нефтьмагистраль»";"06.08.2015";"";"";
"208";"Автомобильная заправочная станция «ТрансАЗС» на 93-м километре Московской кольцевой автомобильной дороги";"25778922";"АЗС«ТрансАЗС» на 93-м километре Московской кольцевой автомобильной дороги";"Северо-Восточный административный округ";"Лосиноостровский район";" 93-й километр Московской кольцевой автомобильной дороги";"ЗАО «ТрансАЗС»";"18.08.2015";"";"";
"209";"Автомобильная заправочная станция «Мосгортранс» на улице Дениса Давыдова, дом 2";"25781036";"АЗС «Мосгортранс» на улице Дениса Давыдова, дом 2";"Западный административный округ";"район Дорогомилово";"улица Дениса Давыдова, дом 2";"филиал Филевского АТП ГУП «Мосгортранс»";"20.08.2015";"";"";
"210";"Автомобильная заправочная станция «СБС-ХХI» на улице Знаменская, владение 1";"25782403";"Автомобильная заправочная станция «СБС-ХХI» на улице Знаменская, владение 1";"Восточный административный округ";"район Преображенское";"улица Знаменская, владение 1";"ООО «СБС-ХХI»";"18.12.2020";"";"";
"211";"Автомобильная заправочная станция «Альфа-Петрол М» на улице Ясеневая, владение 13А";"61425117";"АЗС «Альфа-Петрол М» на улице Ясеневая, владение 13А";"Южный административный округ";"район Орехово-Борисово Южное";"улица Ясеневая, владение 13А";"ООО «Альфа-Петрол М»";"29.11.2019";"";"";
"212";"Автомобильная заправочная станция «Оптима Юнион» на улице Южнопортовая, владение 17Д";"61425404";"АЗС «Оптима Юнион» на улице Южнопортовая, владение 17Д";"Юго-Восточный административный округ";"район Печатники";"улица Южнопортовая, владение 17Д";"ООО «Оптима Юнион»";"27.10.2015";"";"";
"213";"Автомобильная заправочная станция «Луч» на улице Барышиха, владение 11";"61425517";"АЗС «Луч» на улице Барышиха, владение 11";"Северо-Западный административный округ";"район Митино";"улица Барышиха, владение 11";"ООО «Луч»";"03.11.2015";"";"";
"214";"Автомобильная заправочная станция «Ойл-Траст» на Севастопольском проспекте, владение 11Б";"144586155";"АЗС «Ойл-Траст» на Севастопольском проспекте, владение 11Б";"Юго-Западный административный округ";"район Котловка";"Севастопольский проспект, владение 11Б";"ООО «Ойл-Траст»";"14.01.2016";"";"";
"215";"Автомобильная заправочная станция «РН-Москва» на проспекте 60-летия Октября, владение 8В, строение 1";"144586156";"АЗС «РН-Москва» на проспекте 60-летия Октября, владение 8В, строение 1";"Юго-Западный административный округ";"Академический район";"проспект 60-летия Октября, владение 8В, строение 1";"АО «РН-Москва»";"14.01.2016";"";"";
"216";"Автомобильная заправочная станция «Компания ТРАССА» на 42-м километре Калужского шоссе, владение 5, строение 1";"144586163";"АЗС «Компания ТРАССА» на 42-м километре Калужского шоссе, владение 5, строение 1";"Троицкий административный округ";"поселение Краснопахорское";"42-й километр Калужского шоссе, владение 5, строение 1";"ООО «Компания ТРАССА»";"14.01.2016";"";"";
"217";"Автомобильная заправочная станция «Газпромнефть-Северо-Запад» на улице Красина, владение 15, строение 1";"144586164";"АЗС «Газпромнефть-Северо-Запад» на улице Красина, владение 15, строение 1";"Центральный административный округ";"Пресненский район";"улица Красина, владение 15, строение 1";"ООО «Газпромнефть-Северо-Запад»";"22.01.2016";"";"";
"218";"Автомобильная заправочная станция «ИП Филатов В.А.» на Остафьевском шоссе, дом 7";"167792333";"АЗС «ИП Филатов В.А.» на Остафьевском шоссе, дом 7";"Новомосковский административный округ";"поселение Щербинка";"Остафьевское шоссе, дом 7";"ИП Филатов В.А.";"18.02.2016";"";"";
"219";"Автомобильная заправочная станция «Валар» на 39-м километре Московской кольцевой автомобильной дороги, владение 1, строение 1";"167792341";"АЗС «Валар» на 39-м километре Московской кольцевой автомобильной дороги, владение 1, строение 1";"Юго-Западный административный округ";"район Ясенево";"39-й километр Московской кольцевой автомобильной дороги, владение 1, строение 1";"ООО «Валар»";"25.02.2016";"";"";
"220";"Автомобильная заправочная станция «АВИС-АМ» на 32-м километре Московской кольцевой автомобильной дороги, владение 7";"167792351";"АЗС «АВИС-АМ» на 32-м километре Московской кольцевой автомобильной дороги, владение 7";"Южный административный округ";"район Чертаново Южное";"32-й километр Московской кольцевой автомобильной дороги, владение 7";"ООО «АВИС-АМ»";"25.02.2016";"";"";
"221";"Автомобильная заправочная станция «ЛУЧ» на улице Маршала Воробьева, дом 12";"167792387";"АЗС «ЛУЧ» на улице Маршала Воробьева, дом 12";"Северо-Западный административный округ";"район Строгино";"улица Маршала Воробьева, дом 12";"ООО «ЛУЧ»";"15.03.2016";"";"";
"222";"Автомобильная заправочная станция «Интертрест-Ойл» на 53-м километре Московской кольцевой автомобильной дороги, владение 6Б";"167792396";"АЗС «Интертрест-Ойл» на 53-м километре Московской кольцевой автомобильной дороги, владение 6Б";"Западный административный округ";"Можайский район";"53-й километр Московской кольцевой автомобильной дороги, владение 6Б";"ООО «Интертрест-Ойл»";"15.03.2016";"";"";
